,path,size,first_title
46,/the-algorithm/follow-recommendations-service/common/src/main/scala/com/twitter/follow_recommendations/common/candidate_sources/socialgraph/README.md,518,# Social Graph Candidate Source
47,/the-algorithm/follow-recommendations-service/common/src/main/scala/com/twitter/follow_recommendations/common/candidate_sources/ppmi_locale_follow/README.md,733,# PPMI Locale Follow Candidate Source
48,/the-algorithm/follow-recommendations-service/common/src/main/scala/com/twitter/follow_recommendations/common/candidate_sources/triangular_loops/README.md,400,# Triangular Loops Candidate Source
49,/the-algorithm/follow-recommendations-service/common/src/main/scala/com/twitter/follow_recommendations/common/candidate_sources/recent_engagement/README.md,173,# Recent Engagement Candidate Source
50,/the-algorithm/follow-recommendations-service/common/src/main/scala/com/twitter/follow_recommendations/common/candidate_sources/addressbook/README.md,207,# Address Book Candidate Source
51,/the-algorithm/follow-recommendations-service/common/src/main/scala/com/twitter/follow_recommendations/common/candidate_sources/top_organic_follows_accounts/README.md,153,# Top Organic Follows Accounts
52,/the-algorithm/twml/README.md,701,# TWML
53,/the-algorithm/simclusters-ann/README.md,6237,# SimClusters ANN
54,/the-algorithm/navi/README.md,2591,# Navi: High-Performance Machine Learning Serving Server in Rust
55,/the-algorithm/product-mixer/README.md,2443,## Overview
56,/the-algorithm/ann/src/main/scala/com/twitter/ann/service/loadtest/README.md,10060,# Loadtest ANN query service with random embeddings
57,/the-algorithm/science/search/ingester/config/README.md,427,## Ingester Configs
58,/the-algorithm/trust_and_safety_models/README.md,881,
59,/the-algorithm/cr-mixer/README.md,1508,# CR-Mixer
60,/the-algorithm/home-mixer/README.md,4377,## Overview
